### TexasHoldem → Streamlit MVP 重构 PLAN（1 – 50）

> **说明**
>
> * **问题**：针对当前代码/架构缺陷或缺口
> * **方案**：解决思路与具体落地操作
> * **测试**：要编写或修改的测试，验证此项方案是否有效
> * 每条是**原子**、可独立执行的任务；按序号顺序依赖性最小化

| #                     | 问题                       | 方案                                                                                                                            | 测试                                                                            |
| 18                    | 测试文件命名不统一                | 统一前缀 `test_*.py`、子目录映射源码层                                                                                                     | CI 规则：`pytest --cov` 通过且无 xfail                                               |
| 19                    | 冗余旧测试                    | 删除 `test_game_flow_old.py`；留存关键断言到新 flow 测试                                                                                   | 在 PR 里运行覆盖率→无下降                                                               |
| 20                    | 功能交叉重复                   | 利用 `pytest markers` 标注层级 `unit/integration/system`，避免多层重复同场景                                                                  | CI 分阶段跑 markers 并统计时间                                                         |
| 21                    | CLI 交互缺集成测试              | 用 `pexpect` 模拟 CLI；输入脚本文件驱动 1 手牌                                                                                              | `tests/e2e/test_cli_interaction.py`：预期文本出现在输出                                 |
| 22                    | 随机性导致测试不稳定               | 所有测试注入 `rng=random.Random(42)` 固定种子                                                                                           | `tests/conftest.py` 全局 fixture                                                |
| 23                    | Streamlit UI 无测试计划       | 准备使用 `streamlit-testing` 对按钮点击 & session\_state 断言                                                                            | `tests/ui/test_streamlit_basic.py`：启动 app，模拟一轮弃牌                              |
| **Streamlit MVP 架构**  |                          |                                                                                                                               |                                                                               |
| 24                    | SessionState 缺封装         | 在 `ui.streamlit.session.py` 编写 `get_controller()` 工具函数                                                                        | 手动运行 app：刷新页面控制器未丢失                                                           |
| 25                    | 牌面渲染缺资产                  | 初版先用文本 `"♥A"`；放置牌面 emoji 映射 dict                                                                                              | `tests/unit/test_card_render.py`：`render_card(Heart, A)` 返回字符串含 “♥”           |
| 26                    | 玩家列表显示不直观                | 使用 `st.columns` 网格展示；当前行动玩家背景高亮                                                                                               | 人工检查 UI                                                                       |
| 27                    | 操作按钮与合法性                 | UI 调用 `controller.get_available_actions()` 动态绘制；金额输入绑定条件显示                                                                    | `tests/ui/test_action_buttons_logic.py`：模拟 state → 应显示相应按钮                    |
| 28                    | AI 操作未分帧                 | 在 UI 回调里循环 `controller.progress_until_human()`，期间 `st.rerun()`                                                                | 手动验证 AI 连续行动直至轮到人                                                             |
| 29                    | 事件日志缺位置                  | 在侧边栏 `st.sidebar` 滚动显示 `controller.consume_events()`                                                                          | 人工验证 flop/turn/river 消息依次出现                                                   |
| 30                    | 一手牌结束缺复位                 | UI 检测 `snapshot.phase == SHOWDOWN and snapshot.awaiting_user == False` → 按钮“下一局”                                              | `tests/ui/test_next_hand_button.py`：点击后 GameState.phase == PREFLOP            |
| 31                    | 玩家输光后继续                  | 控制器方法 `is_game_over()`；UI 若 True → 显示 `st.success('Game Over')`                                                               | 手动验证                                                                          |
| **控制器粒度调整**           |                          |                                                                                                                               |                                                                               |
| 32                    | `play_full_hand` 封装过大    | 拆成 `start_new_hand`, `player_action`, `auto_progress` 三方法                                                                     | 修改所有 CLI & 测试调用，CI 通过                                                         |
| 33                    | 重启游戏未暴露接口                | 增加 `reset_game()`：重置牌堆与筹码                                                                                                     | `tests/system/test_reset_game.py`：多局后 reset → 所有玩家筹码重置                        |
| 34                    | 计时器缺失                    | (预留) 在控制器记录 `hand_start_time`; UI 可展示                                                                                         | `tests/unit/test_timer.py`：hand 时间正递增                                         |
| **依赖管理与打包**           |                          |                                                                                                                               |                                                                               |
| 35                    | requirements 未分层         | 拆分 `requirements-core.txt`, `requirements-ui.txt`                                                                             | CI 步骤：`pip install -r` 两份全通过                                                  |
| 36                    | setup.cfg 缺 entrypoints  | 配置 `console_scripts=texasholdem-cli=ui.cli.cli_game:main`                                                                     | `pytest -q tests/local/test_cli_entry.py`：subprocess 调用成功                     |
| 37                    | core 逻辑与第三方 zero-dep     | 移除 rich 等 UI 依赖；仅保留 `dataclasses`, `typing`, `numpy?`                                                                         | 运行 `pipdeptree` CI 阶段，核心包无 UI 依赖                                              |
| **CI/CD & 质量守护**      |                          |                                                                                                                               |                                                                               |
| 38                    | 无黑格式化规则                  | 加入 `black` & `isort` pre-commit                                                                                               | `pre-commit run --all-files` 通过                                               |
| 39                    | 类型注解不完整                  | 运行 `mypy` 对 `core/` 开启严格模式                                                                                                    | CI 阶段 `mypy --strict core/` 无错误                                               |
| 40                    | 文档漂移                     | 用 `mkdocs` 自动从 docstring 生成 API 文档                                                                                            | 手动 `mkdocs serve` 浏览                                                          |
| **Streamlit MVP 完成度** |                          |                                                                                                                               |                                                                               |
| 41                    | 快照→UI 映射重复代码             | 在 `ui.streamlit.helpers` 写 `render_snapshot(snapshot)`                                                                        | `tests/ui/test_render_snapshot.py`：mock snapshot → 返回组件树                      |
| 42                    | 金额输入 UX 粗糙               | 使用 `st.slider` 限制输入范围 (min\_call, max\_chips)                                                                                 | 人工验证                                                                          |
| 43                    | 公牌图片替换方案                 | 预留可切到 svg/png 资源；路径配置在 `config.py`                                                                                            | 人工验证                                                                          |
| 44                    | 多牌桌支持准备                  | 定义 `TableManager` 服务：字典 `{table_id: PokerController}`                                                                         | `tests/system/test_table_manager.py`：开两桌不互串 state                             |
| **契约/快照测试**           |                          |                                                                                                                               |                                                                               |
| 45                    | DTO 改动难察觉                | 在 `tests/contract/` 使用 `approvaltests`；任何 diff 需审批                                                                            | PR 需要 `--fail-on-report`                                                      |
| 46                    | Snapshot 可视回归            | 生成 HTML 渲染文件存 artifacts，供审核                                                                                                   | GitHub Actions 上传 artifacts                                                   |
| **性能与资源**             |                          |                                                                                                                               |                                                                               |
| 47                    | Streamlit 频繁 rerun 卡顿    | 限制 `rerun` 频率：如果 `time.time() - last_rerun < 0.5` 则跳过                                                                         | `tests/performance/test_ui_throttle.py`：模拟 rapid click → rerun <= 2/s         |
| 48                    | 评估器大输入内存占用               | 用 `@lru_cache(maxsize=100_000)` 缓存牌型字符串→Rank                                                                                  | `tests/performance/test_memory_profile.py`：memory 增量低于阈值                      |
| **交付与回顾**             |                          |                                                                                                                               |                                                                               |
| 49                    | MVP 发布方式                 | 在 repo `README` 添加“本地运行 Streamlit”教程，一键 `streamlit run ui/streamlit/app.py`                                                   | 文档 CI 检查 README 块包含命令                                                         |
| 50                    | 验收 checklist 缺失          | 编写 `docs/ACCEPTANCE.md`：罗列功能、测试通过率、手动检查步骤                                                                                     | 交付前运行 `pytest`, `black`, `mypy`, `mkdocs build` 全绿即合格                         |

---

**执行提示**

* 按序号逐条提交 PR，小步快跑，持续绿 CI
* 建议每 5 – 10 项一次合并，便于回滚
* Streamlit MVP 目标完成标志：#24 — #33 — #43 全部测试通过、手动运行 UI 正常玩一手牌

如需进一步拆分或深入细节，可随时提出，我们继续补充下一批 PLAN。
